Scrip Name,Quantity,Closing Price,Valuation
RELIANCE INDUSTRIES LIMITED EQ,1898,1388.2,"26,34,804"
GRASIM INDUSTRIES LTD EQ NEW FV RS.2/-,775,2984,"23,12,755"
CUMMINS INDIA LIMITED EQ FV RS.2,350,5238.5,"18,33,475"
TATA STEEL LIMITED EQ NEW FV RE.1/-,5220,212.08,"11,07,828"
ULTRATECH CEMENT LIMITED EQ,87,11866,"10,32,342"
HINDUSTAN UNILEVER LIMITED EQ FV RS 1,200,2307.2,"4,61,440"
ADITYA BIRLA CAPITAL LIMITED EQ,1085,352.95,"3,82,951"
ATUL LIMITED EQ,39,6892,"2,68,788"
ATE-PAIMOLIVE (INDIA) LIMITED EQ NEW FV,120,2139,"2,56,680"
JIO FINANCIAL SERVICES LIMITED EQ,949,240.33,"2,28,073"
TATA STEEL LIMITED EQ NEW FV RE.1/-,520,212.08,"1,10,282"
INFOSYS LIMITED EQ FV RS 5,37,1177,"43,549"
ADITYA BIRLA REAL ESTATE LIMITED EQ,30,1377,"41,340"
DCW LIMITED EQ NEW FV RS.2/-,800,49.62,"39,696"
TATA MOTORS LIMITED EQ,55,411,"22,605"
CENTURY ENKA LIMITED EQ,50,440.65,"22,033"
PTORS PASSENGER VEHICLES LIMITED EQ NEW,55,346,"19,030"
ARVIND LIMITED EQ,36,440.85,"15,871"
LIFE INSURANCE CORPORATION OF INDIA EQ,15,798.35,"11,975"
97 COMMUNICATIONS LIMITED EQ NEW FV,6,1196.6,"7,180"
CONSULTANCY SERVICES LIMITED EQ NEW FV,3,2392.9,"7,179"
HCL TECHNOLOGIES LIMITED EQ F.V. RS.2/-,5,1194.9,"5,975"
KWALITY WALL'S (INDIA) LIMITED EQ,200,28.75,"5,750"
VIND SMARTSPACES LIMITED EQ NEW FV RS.1,8,626.1,"5,009"
VODAFONE IDEA LIMITED EQ,335,12.18,"4,080"
VEDANTA LIMITED EQ NEW RS.1/-,10,298.4,"2,984"
RELIANCE POWER LIMITED EQ. NEW RS.10,78,27.99,"2,183"
TATA POWER COMPANY LIMITED EQ NEW FV,5,433.2,"2,166"
BAJAJ HOUSING FINANCE LIMITED EQ,25,86.26,"2,157"
RELIANCE INFRASTRUCTURE LIMITED EQ,13,71,923
TALWANDI SABO POWER LIMITED EQ,10,10,100
RELIANCE COMMUNICATIONS LIMITED EQ,71,0.94,67
MALCO ENERGY LIMITED EQ NEW FV RE.1/-,10,1,10
VEDANTA ALUMINIUM LIMITED EQ,10,1,10
VEDANTA IRON AND STEEL LIMITED EQ,10,1,10
RELIANCE HOME FINANCE LIMITED EQ,2,2.19,4
