ISIN,ISIN Name,Current Free,Rate,Value,
INE545U01014,BANDHAN BANK LIMITED # EQUITY SHARES,120,202.75,24330,
INE066F01020,HINDUSTAN AERONAUTICS LIMITED,72,4238.65,305182.8,
INE765G01017,ICICI LOMBARD GENERAL INSURANCE COMPANY,66,1738.55,114744.3,
INE726G01019,ICICI PRUDENTIAL LIFE INSURANCE COMPANY,88,475.45,41839.6,
INE896L01010,INDOSTAR CAPITAL FINANCE LIMITED,78,240.8,18782.4,
INE758E01017,JIO FINANCIAL SERVICES LIMITED,300,229,68700,
INE498L01015,L&T FINANCE LIMITED,500,261.8,130900,
INE214T01019,LTM LIMITED,20,3977.1,79542,
INE870H01013,NETWORK18 MEDIA & INVESTMENTS LIMITED,300,31.85,9555,
INE614G01033,RELIANCE POWER LIMITED,52,27.24,1416.48,
INE123W01016,SBI LIFE INSURANCE COMPANY LIMITED,63,1765.8,111245.4,
INE245A01021,TATA POWER COMPANY LIMITED,200,404.3,80860,
INE528G01035,YES BANK LIMITED,1450,23.01,33364.5,
,,,,,
,,,,Holding Value,1020462.48
